住宅価格の中央値,経度,緯度,築年数の中央値,合計部屋数,合計ベッドルーム数,人口,世帯数,収入の中央値,海への近さ
220500.0,-119.19,34.2,18.0,3620.0,,3171.0,779.0,3.3409,NEAR OCEAN
127000.0,-116.92,32.86,11.0,2204.0,518.0,1472.0,497.0,2.3693,<1H OCEAN
102500.0,-117.52,33.88,21.0,722.0,178.0,770.0,165.0,2.5656,INLAND
180700.0,-122.06,37.67,22.0,3882.0,816.0,1830.0,743.0,4.2733,NEAR BAY
238000.0,-118.24,34.14,36.0,1813.0,560.0,1501.0,544.0,1.9125,<1H OCEAN
218200.0,-119.05,34.21,27.0,4357.0,926.0,2110.0,876.0,3.0119,<1H OCEAN
72800.0,-119.71,36.8,25.0,875.0,156.0,646.0,166.0,3.0,INLAND
232400.0,-118.3,33.84,37.0,1241.0,226.0,621.0,255.0,4.9196,<1H OCEAN
93400.0,-116.31,33.67,15.0,2214.0,410.0,1152.0,350.0,2.9187,INLAND
165600.0,-118.15,33.98,37.0,1184.0,290.0,1320.0,276.0,2.3,<1H OCEAN
221800.0,-118.52,34.18,42.0,1611.0,410.0,879.0,386.0,3.1923,<1H OCEAN
138500.0,-118.0,34.07,34.0,1696.0,456.0,1609.0,426.0,2.25,INLAND
75000.0,-119.77,36.44,26.0,1727.0,289.0,802.0,259.0,3.2083,INLAND
346500.0,-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,NEAR OCEAN
158000.0,-118.17,33.86,40.0,1301.0,342.0,954.0,336.0,2.3804,<1H OCEAN
234700.0,-121.34,37.99,14.0,3111.0,498.0,1178.0,525.0,6.556,INLAND
264800.0,-121.86,37.42,20.0,5032.0,808.0,2695.0,801.0,6.6227,<1H OCEAN
350000.0,-122.25,37.89,37.0,3000.0,457.0,987.0,450.0,7.5385,NEAR BAY
369100.0,-121.92,36.56,40.0,2124.0,449.0,643.0,341.0,5.5164,NEAR OCEAN
289500.0,-121.88,36.98,21.0,4117.0,752.0,2001.0,763.0,4.8953,NEAR OCEAN
197600.0,-122.11,37.64,31.0,1487.0,280.0,854.0,301.0,5.2312,NEAR BAY
77400.0,-120.54,38.41,21.0,1435.0,294.0,668.0,267.0,2.5667,INLAND
224700.0,-118.35,34.18,46.0,2711.0,491.0,1277.0,490.0,4.282,<1H OCEAN
298900.0,-121.98,37.27,29.0,2658.0,484.0,1318.0,498.0,5.3561,<1H OCEAN
221000.0,-121.75,37.29,15.0,1486.0,310.0,455.0,296.0,4.3365,<1H OCEAN
261600.0,-118.11,34.17,50.0,3374.0,598.0,1484.0,569.0,4.99,INLAND
221000.0,-121.69,36.81,18.0,2837.0,522.0,1454.0,458.0,4.5272,<1H OCEAN
216600.0,-117.37,33.96,33.0,3974.0,548.0,1398.0,528.0,7.2519,INLAND
166700.0,-118.18,34.1,10.0,1940.0,445.0,763.0,412.0,4.975,<1H OCEAN
258300.0,-118.3,34.08,32.0,2880.0,1063.0,3646.0,1028.0,2.3846,<1H OCEAN
394000.0,-118.42,34.01,32.0,1300.0,356.0,703.0,311.0,3.5667,<1H OCEAN
96800.0,-121.49,38.52,37.0,1902.0,413.0,955.0,384.0,3.1014,INLAND
183300.0,-122.31,38.33,21.0,1922.0,344.0,1051.0,342.0,3.6042,NEAR BAY
144000.0,-117.04,32.75,36.0,2297.0,418.0,1070.0,392.0,3.5192,NEAR OCEAN
350000.0,-117.82,33.67,15.0,1010.0,274.0,649.0,261.0,2.5197,<1H OCEAN
43900.0,-116.0,32.74,26.0,1134.0,280.0,329.0,158.0,1.4338,INLAND
126200.0,-121.39,38.55,25.0,2171.0,431.0,1053.0,422.0,3.5278,INLAND
142500.0,-115.5,32.75,13.0,330.0,72.0,822.0,64.0,3.4107,INLAND
45000.0,-119.79,36.75,52.0,377.0,97.0,530.0,96.0,1.0,INLAND
82800.0,-120.04,36.79,48.0,1341.0,239.0,671.0,208.0,2.7917,INLAND
154500.0,-122.7,38.34,19.0,2987.0,676.0,1782.0,688.0,2.8261,<1H OCEAN
270500.0,-117.81,33.78,27.0,3589.0,507.0,1484.0,495.0,5.7934,<1H OCEAN
169500.0,-118.09,33.98,39.0,936.0,194.0,691.0,211.0,3.6875,<1H OCEAN
160900.0,-120.97,37.69,16.0,2793.0,476.0,1279.0,477.0,3.4667,INLAND
171200.0,-121.52,38.53,30.0,3377.0,623.0,1289.0,594.0,3.5737,INLAND
213200.0,-122.49,38.27,8.0,5092.0,988.0,1657.0,936.0,3.5625,NEAR BAY
221400.0,-118.01,33.91,32.0,2722.0,571.0,2541.0,462.0,4.2305,<1H OCEAN
162500.0,-118.3,34.17,30.0,48.0,14.0,74.0,16.0,5.0056,<1H OCEAN
255000.0,-118.3,33.74,40.0,1896.0,416.0,950.0,383.0,2.425,NEAR OCEAN
200000.0,-118.41,34.19,39.0,1169.0,242.0,612.0,247.0,4.1429,<1H OCEAN
312300.0,-122.19,37.47,44.0,1371.0,263.0,589.0,301.0,4.8068,NEAR BAY
118500.0,-118.33,33.98,30.0,3112.0,931.0,2739.0,841.0,1.6531,<1H OCEAN
350000.0,-122.06,37.64,20.0,1655.0,450.0,857.0,430.0,3.5541,NEAR BAY
316700.0,-117.23,32.85,25.0,4229.0,601.0,1634.0,574.0,6.3955,NEAR OCEAN
106300.0,-117.68,33.49,16.0,3084.0,724.0,2557.0,690.0,2.8357,<1H OCEAN
125000.0,-118.24,33.98,45.0,972.0,249.0,1288.0,261.0,2.2054,<1H OCEAN
172100.0,-120.7,35.55,10.0,3979.0,761.0,1834.0,671.0,3.5,<1H OCEAN
231400.0,-122.04,37.94,24.0,5732.0,873.0,2444.0,888.0,5.6292,NEAR BAY
217400.0,-116.75,32.85,17.0,4863.0,845.0,2266.0,769.0,4.2321,<1H OCEAN
493400.0,-118.45,34.02,45.0,1230.0,201.0,565.0,219.0,6.3521,<1H OCEAN
220200.0,-118.5,34.45,25.0,1290.0,190.0,689.0,216.0,6.0097,<1H OCEAN
320400.0,-121.94,37.93,16.0,3421.0,427.0,1341.0,428.0,7.5695,INLAND
172500.0,-120.99,38.69,5.0,5743.0,1074.0,2651.0,962.0,4.1163,INLAND
139500.0,-117.84,33.75,16.0,4367.0,1161.0,2164.0,1005.0,4.0214,<1H OCEAN
158100.0,-118.44,34.27,36.0,1111.0,275.0,1333.0,266.0,3.5347,<1H OCEAN
107600.0,-117.1,32.68,42.0,2013.0,568.0,1920.0,557.0,2.0724,NEAR OCEAN
165000.0,-117.16,32.78,34.0,2515.0,488.0,1594.0,515.0,3.7381,NEAR OCEAN
67200.0,-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,INLAND
342300.0,-117.04,33.01,28.0,922.0,107.0,314.0,97.0,8.4721,<1H OCEAN
207600.0,-120.91,38.62,12.0,4545.0,748.0,2033.0,718.0,4.1843,INLAND
176100.0,-118.04,34.06,39.0,1258.0,245.0,988.0,228.0,3.2132,<1H OCEAN
140100.0,-121.84,37.37,15.0,3315.0,1042.0,2749.0,1059.0,2.3199,<1H OCEAN
96100.0,-117.11,33.75,17.0,4174.0,851.0,1845.0,780.0,2.2618,INLAND
370000.0,-122.54,37.9,48.0,2491.0,460.0,937.0,455.0,4.4375,NEAR BAY
133000.0,-118.18,34.05,52.0,1070.0,231.0,925.0,220.0,1.825,<1H OCEAN
137900.0,-121.13,36.21,27.0,1476.0,352.0,1156.0,358.0,3.1929,<1H OCEAN
97500.0,-122.18,37.77,27.0,909.0,236.0,396.0,157.0,2.0786,NEAR BAY
260300.0,-121.57,37.0,18.0,7241.0,1225.0,4168.0,1138.0,4.5714,INLAND
54600.0,-119.77,36.76,43.0,1945.0,413.0,1492.0,422.0,1.5174,INLAND
181300.0,-118.15,34.16,18.0,1711.0,383.0,1474.0,415.0,1.2891,<1H OCEAN
112100.0,-116.97,33.96,12.0,5876.0,1222.0,2992.0,1151.0,2.4322,INLAND
172800.0,-122.19,37.79,50.0,954.0,217.0,546.0,201.0,2.6667,NEAR BAY
157300.0,-119.2,35.37,6.0,7383.0,1095.0,3415.0,1059.0,5.3119,INLAND
334100.0,-117.96,33.89,24.0,1332.0,252.0,625.0,230.0,4.4375,<1H OCEAN
434800.0,-118.11,34.14,44.0,3298.0,615.0,1417.0,643.0,4.1324,<1H OCEAN
261600.0,-118.29,34.09,52.0,1272.0,322.0,984.0,353.0,1.9063,<1H OCEAN
139700.0,-118.45,37.37,26.0,3135.0,524.0,1385.0,523.0,4.337,INLAND
368000.0,-122.49,37.54,15.0,3456.0,545.0,1527.0,535.0,6.3256,NEAR OCEAN
93900.0,-122.35,37.96,34.0,1428.0,335.0,1272.0,319.0,2.5461,NEAR BAY
63500.0,-115.57,32.85,17.0,1039.0,256.0,728.0,246.0,1.7411,INLAND
88600.0,-117.36,34.1,31.0,2587.0,531.0,1227.0,489.0,2.3578,INLAND
102300.0,-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,NEAR BAY
188300.0,-119.84,36.81,18.0,2789.0,378.0,937.0,364.0,7.7062,INLAND
141900.0,-122.17,37.77,39.0,1612.0,342.0,912.0,322.0,3.3958,NEAR BAY
157600.0,-122.07,37.63,27.0,2784.0,723.0,2028.0,693.0,2.4808,NEAR BAY
77500.0,-121.5,38.57,9.0,745.0,175.0,297.0,160.0,3.358,INLAND
431800.0,-117.81,33.81,19.0,3154.0,390.0,1404.0,384.0,8.9257,<1H OCEAN
500001.0,-117.91,33.6,37.0,2088.0,510.0,673.0,390.0,5.1048,<1H OCEAN
73100.0,-121.29,37.92,12.0,1096.0,240.0,1175.0,278.0,3.1053,INLAND
57500.0,-117.09,32.64,20.0,1999.0,651.0,1302.0,592.0,1.6321,NEAR OCEAN
83500.0,-120.95,39.93,26.0,2023.0,385.0,922.0,365.0,2.8125,INLAND
163600.0,-117.12,33.14,16.0,1710.0,272.0,1025.0,267.0,4.1641,<1H OCEAN
229100.0,-121.77,36.96,20.0,4228.0,816.0,2389.0,844.0,3.525,<1H OCEAN
500001.0,-118.41,34.07,47.0,2979.0,626.0,1076.0,571.0,3.9904,<1H OCEAN
147700.0,-117.05,32.77,23.0,2556.0,662.0,1200.0,548.0,1.8899,NEAR OCEAN
500001.0,-118.11,33.78,16.0,3985.0,567.0,1327.0,564.0,7.9767,<1H OCEAN
156300.0,-120.92,37.7,24.0,527.0,112.0,270.0,112.0,1.6172,INLAND
100000.0,-119.25,36.71,13.0,2813.0,579.0,1385.0,512.0,2.2202,INLAND
174200.0,-118.46,34.18,27.0,2582.0,719.0,2038.0,718.0,3.0877,<1H OCEAN
246400.0,-122.42,37.73,50.0,3426.0,769.0,2261.0,671.0,2.888,NEAR BAY
487500.0,-118.39,33.81,35.0,1008.0,165.0,391.0,167.0,3.7778,NEAR OCEAN
149300.0,-119.17,34.2,36.0,2028.0,523.0,2751.0,496.0,3.015,NEAR OCEAN
278800.0,-120.92,35.4,23.0,2059.0,354.0,636.0,278.0,3.6908,NEAR OCEAN
55400.0,-118.99,35.39,36.0,1438.0,348.0,1054.0,341.0,1.8319,INLAND
171500.0,-121.14,39.1,13.0,1085.0,227.0,629.0,214.0,5.0389,INLAND
128300.0,-122.25,40.6,16.0,2753.0,494.0,1414.0,459.0,3.8323,INLAND
126900.0,-122.24,38.13,37.0,3223.0,564.0,1325.0,539.0,4.0938,NEAR BAY
84500.0,-117.33,34.09,29.0,1960.0,415.0,1681.0,435.0,2.9292,INLAND
279800.0,-121.76,37.0,21.0,1416.0,269.0,779.0,200.0,3.1987,<1H OCEAN
142300.0,-117.14,32.76,24.0,3523.0,991.0,1775.0,873.0,2.1273,NEAR OCEAN
273700.0,-122.29,37.91,40.0,2085.0,329.0,796.0,339.0,5.5357,NEAR BAY
195200.0,-117.9,33.87,34.0,1411.0,292.0,1040.0,299.0,3.4338,<1H OCEAN
419900.0,-118.57,34.25,20.0,4679.0,609.0,1945.0,609.0,8.7471,<1H OCEAN
103800.0,-117.39,34.1,12.0,7184.0,1516.0,4862.0,1235.0,2.4492,INLAND
272900.0,-122.31,37.55,45.0,507.0,140.0,305.0,139.0,2.6159,NEAR OCEAN
208800.0,-118.3,33.9,29.0,2617.0,668.0,1868.0,647.0,3.6,<1H OCEAN
500001.0,-122.13,37.44,43.0,3004.0,440.0,1088.0,427.0,9.1508,NEAR BAY
108900.0,-118.29,33.99,39.0,979.0,235.0,857.0,236.0,2.5547,<1H OCEAN
233300.0,-118.75,34.27,24.0,3241.0,461.0,1567.0,446.0,5.5983,<1H OCEAN
108300.0,-118.29,33.98,41.0,1582.0,416.0,1422.0,370.0,1.0516,<1H OCEAN
84700.0,-116.82,34.24,11.0,5799.0,1527.0,713.0,262.0,2.5147,INLAND
63800.0,-121.24,37.95,36.0,361.0,63.0,169.0,62.0,3.7734,INLAND
96400.0,-121.82,38.01,50.0,1120.0,281.0,625.0,239.0,1.5988,INLAND
273000.0,-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,NEAR BAY
500001.0,-117.26,32.95,15.0,1036.0,149.0,395.0,157.0,5.8343,NEAR OCEAN
171100.0,-122.32,38.01,26.0,3054.0,492.0,1495.0,496.0,4.6944,NEAR BAY
230600.0,-122.07,37.67,27.0,3239.0,671.0,1469.0,616.0,3.2465,NEAR BAY
155700.0,-116.69,33.5,13.0,1187.0,255.0,442.0,179.0,1.9107,INLAND
166900.0,-117.9,33.82,32.0,1187.0,302.0,1003.0,275.0,2.4931,<1H OCEAN
436100.0,-121.97,37.24,35.0,2553.0,533.0,1117.0,498.0,4.4063,<1H OCEAN
260000.0,-121.95,37.29,30.0,3734.0,813.0,1834.0,824.0,3.4505,<1H OCEAN
133700.0,-120.42,34.94,32.0,2844.0,551.0,1337.0,516.0,2.7188,<1H OCEAN
88900.0,-119.34,36.31,14.0,1635.0,422.0,870.0,399.0,2.7,INLAND
500001.0,-121.86,37.21,23.0,2552.0,305.0,916.0,316.0,9.1974,<1H OCEAN
356100.0,-118.42,33.96,24.0,4393.0,966.0,1257.0,579.0,5.0714,<1H OCEAN
91500.0,-118.25,33.89,35.0,1582.0,391.0,1957.0,404.0,2.4537,<1H OCEAN
192900.0,-117.19,32.82,35.0,2197.0,353.0,945.0,357.0,4.9219,NEAR OCEAN
145500.0,-117.07,32.63,37.0,2372.0,444.0,1056.0,419.0,3.7583,NEAR OCEAN
402500.0,-122.16,37.45,19.0,2207.0,810.0,1304.0,775.0,2.1406,NEAR BAY
166800.0,-122.14,37.71,18.0,3905.0,1007.0,2197.0,1044.0,3.6932,NEAR BAY
345700.0,-118.08,33.82,26.0,4259.0,588.0,1644.0,581.0,6.2519,<1H OCEAN
415800.0,-122.0,37.27,33.0,1664.0,271.0,759.0,272.0,5.7876,<1H OCEAN
334700.0,-118.46,33.99,52.0,1158.0,253.0,528.0,253.0,3.5234,<1H OCEAN
455000.0,-117.9,33.63,26.0,1632.0,376.0,598.0,375.0,3.2125,<1H OCEAN
341400.0,-117.68,33.54,5.0,2840.0,403.0,1363.0,403.0,7.618,<1H OCEAN
260800.0,-122.51,37.76,40.0,2320.0,562.0,1499.0,521.0,3.2792,NEAR OCEAN
253700.0,-118.27,34.16,52.0,830.0,183.0,479.0,179.0,3.1397,<1H OCEAN
277500.0,-117.21,32.85,26.0,2012.0,315.0,872.0,335.0,5.4067,NEAR OCEAN
132000.0,-120.42,34.96,19.0,2298.0,511.0,1246.0,513.0,2.212,<1H OCEAN
164900.0,-119.17,34.17,42.0,1411.0,300.0,1295.0,339.0,2.6667,NEAR OCEAN
328900.0,-118.35,33.82,28.0,7591.0,1710.0,3420.0,1635.0,4.0708,<1H OCEAN
305400.0,-122.65,38.01,40.0,1428.0,280.0,708.0,255.0,5.0766,NEAR OCEAN
313000.0,-119.28,34.42,23.0,4763.0,828.0,2198.0,771.0,4.8105,NEAR OCEAN
290500.0,-121.36,36.81,7.0,4609.0,741.0,1660.0,720.0,5.0871,INLAND
158500.0,-122.0,38.35,24.0,745.0,116.0,300.0,115.0,3.6176,INLAND
143800.0,-117.91,33.87,29.0,1121.0,,762.0,276.0,2.5,<1H OCEAN
500001.0,-118.09,34.12,45.0,2966.0,415.0,1231.0,409.0,7.8347,<1H OCEAN
165900.0,-120.65,35.28,32.0,896.0,240.0,548.0,231.0,2.5455,NEAR OCEAN
93300.0,-117.27,34.42,9.0,5643.0,1005.0,3166.0,957.0,3.2077,INLAND
154700.0,-118.2,33.99,35.0,1608.0,465.0,2140.0,488.0,3.1979,<1H OCEAN
137500.0,-122.72,38.44,52.0,1059.0,281.0,627.0,273.0,1.5357,<1H OCEAN
500001.0,-122.34,37.55,44.0,2465.0,328.0,843.0,324.0,6.9533,NEAR OCEAN
255600.0,-117.2,32.79,29.0,1213.0,,654.0,246.0,4.5987,NEAR OCEAN
133400.0,-122.34,37.95,44.0,1788.0,368.0,933.0,329.0,2.875,NEAR BAY
229100.0,-119.24,34.28,41.0,1280.0,240.0,608.0,252.0,4.4038,NEAR OCEAN
215300.0,-122.27,37.78,52.0,1222.0,264.0,630.0,265.0,3.7708,NEAR BAY
102900.0,-120.94,37.6,30.0,3257.0,574.0,1804.0,588.0,3.5331,INLAND
243800.0,-117.6,33.45,4.0,2369.0,566.0,996.0,435.0,5.4031,NEAR OCEAN
69000.0,-121.84,39.72,52.0,1457.0,389.0,802.0,342.0,0.9566,INLAND
147900.0,-117.02,32.79,36.0,2211.0,384.0,868.0,329.0,4.0491,<1H OCEAN
249200.0,-117.87,33.84,17.0,2395.0,410.0,1224.0,399.0,5.1182,<1H OCEAN
78800.0,-117.32,34.1,27.0,2053.0,461.0,1737.0,463.0,3.1213,INLAND
83100.0,-120.46,37.51,22.0,2704.0,497.0,1432.0,399.0,2.9,INLAND
129700.0,-118.18,33.78,36.0,1697.0,550.0,1379.0,434.0,1.2746,NEAR OCEAN
350000.0,-122.66,37.93,42.0,1505.0,324.0,553.0,277.0,4.1792,NEAR OCEAN
83300.0,-117.13,32.71,44.0,1697.0,413.0,1396.0,363.0,1.5474,NEAR OCEAN
57700.0,-116.0,34.12,32.0,3163.0,712.0,1358.0,544.0,2.125,INLAND
293900.0,-122.81,38.36,18.0,2399.0,389.0,1131.0,391.0,5.2769,<1H OCEAN
281900.0,-117.98,33.68,24.0,4177.0,,1704.0,606.0,6.2473,<1H OCEAN
181800.0,-118.33,33.91,39.0,1224.0,312.0,1106.0,333.0,3.3491,<1H OCEAN
169800.0,-118.07,33.98,41.0,1478.0,273.0,916.0,281.0,3.9688,<1H OCEAN
131800.0,-121.3,38.13,23.0,2864.0,504.0,1298.0,499.0,3.2303,INLAND
260500.0,-121.8,37.26,16.0,1868.0,285.0,995.0,284.0,5.9053,<1H OCEAN
90600.0,-120.21,36.77,20.0,1745.0,348.0,1093.0,302.0,2.3194,INLAND
89500.0,-119.73,36.72,26.0,2645.0,1005.0,1660.0,991.0,0.6991,INLAND
174300.0,-117.92,33.76,26.0,784.0,177.0,662.0,169.0,2.8438,<1H OCEAN
192000.0,-121.5,38.53,39.0,3184.0,593.0,1188.0,572.0,4.6923,INLAND
131300.0,-122.34,37.98,33.0,2014.0,410.0,1354.0,427.0,3.9773,NEAR BAY
105100.0,-118.24,33.96,30.0,859.0,221.0,912.0,191.0,1.9041,<1H OCEAN
192000.0,-119.18,34.15,22.0,4769.0,1366.0,5534.0,1318.0,2.4167,NEAR OCEAN
273800.0,-117.97,33.68,23.0,1722.0,316.0,865.0,309.0,4.6452,<1H OCEAN
181000.0,-118.34,34.02,48.0,1614.0,320.0,684.0,318.0,4.2218,<1H OCEAN
236300.0,-118.7,34.53,5.0,14275.0,2474.0,7158.0,2311.0,5.4284,INLAND
371500.0,-122.48,37.73,47.0,2382.0,392.0,867.0,376.0,5.2598,NEAR OCEAN
176300.0,-117.95,34.0,34.0,2376.0,468.0,1858.0,449.0,4.1328,<1H OCEAN
241900.0,-122.4,37.72,47.0,1167.0,250.0,953.0,253.0,4.2727,NEAR BAY
207400.0,-118.14,34.2,39.0,2569.0,426.0,1282.0,432.0,5.0953,INLAND
129500.0,-121.36,38.57,26.0,1793.0,244.0,653.0,235.0,5.6485,INLAND
152900.0,-121.63,36.71,19.0,5015.0,1013.0,3251.0,940.0,3.9818,<1H OCEAN
500001.0,-122.46,37.75,52.0,1207.0,152.0,465.0,162.0,10.7569,NEAR BAY
170800.0,-121.42,36.85,7.0,1626.0,325.0,677.0,304.0,2.3125,INLAND
184600.0,-118.26,33.83,24.0,3059.0,,2064.0,629.0,3.5518,<1H OCEAN
147900.0,-122.09,37.6,36.0,385.0,94.0,295.0,92.0,2.9706,NEAR BAY
311200.0,-121.88,37.44,14.0,2073.0,343.0,1107.0,330.0,6.7093,<1H OCEAN
256100.0,-121.95,37.34,25.0,5236.0,1320.0,2529.0,1213.0,3.1702,<1H OCEAN
91200.0,-122.93,40.78,20.0,3758.0,798.0,1685.0,757.0,2.3667,INLAND
76900.0,-117.32,34.07,52.0,1226.0,269.0,693.0,272.0,1.9963,INLAND
144200.0,-118.21,34.09,39.0,1561.0,445.0,1780.0,391.0,2.4632,<1H OCEAN
388100.0,-122.29,37.52,33.0,4104.0,751.0,1837.0,771.0,5.3506,NEAR OCEAN
170100.0,-117.92,33.85,44.0,1231.0,258.0,682.0,244.0,3.2344,<1H OCEAN
184400.0,-122.45,38.51,18.0,1297.0,337.0,610.0,312.0,1.9441,INLAND
185500.0,-117.07,32.77,34.0,2245.0,394.0,1849.0,429.0,3.5446,NEAR OCEAN
330500.0,-121.94,37.33,34.0,1809.0,317.0,863.0,302.0,4.3,<1H OCEAN
261800.0,-118.4,34.19,35.0,1631.0,356.0,862.0,368.0,3.6007,<1H OCEAN
174500.0,-121.54,38.49,6.0,9104.0,1535.0,3759.0,1481.0,5.1442,INLAND
260700.0,-117.21,32.86,26.0,1352.0,202.0,654.0,217.0,5.3693,NEAR OCEAN
294900.0,-117.98,33.65,22.0,3592.0,527.0,1598.0,523.0,6.5501,<1H OCEAN
181200.0,-121.96,37.95,25.0,4026.0,791.0,1850.0,709.0,4.1483,INLAND
54400.0,-119.34,36.2,12.0,1632.0,378.0,1303.0,315.0,2.0333,INLAND
200000.0,-118.34,34.09,37.0,1442.0,501.0,998.0,503.0,2.4432,<1H OCEAN
352700.0,-118.24,34.23,41.0,1912.0,308.0,896.0,314.0,5.3473,<1H OCEAN
367000.0,-120.09,34.62,18.0,2708.0,382.0,988.0,359.0,5.5194,NEAR OCEAN
184600.0,-116.92,32.82,16.0,2784.0,468.0,1458.0,465.0,4.0048,<1H OCEAN
238700.0,-117.08,33.01,5.0,5659.0,931.0,2565.0,902.0,6.1949,<1H OCEAN
121100.0,-121.07,39.22,52.0,2432.0,495.0,928.0,435.0,2.425,INLAND
213900.0,-119.18,34.21,46.0,2062.0,484.0,1522.0,469.0,3.087,NEAR OCEAN
247900.0,-122.09,37.95,32.0,1339.0,209.0,601.0,209.0,6.0265,NEAR BAY
227200.0,-121.7,36.77,21.0,2294.0,478.0,1306.0,430.0,3.0347,<1H OCEAN
200200.0,-121.73,37.71,12.0,5608.0,1049.0,2595.0,1067.0,3.9864,INLAND
136100.0,-118.16,34.18,44.0,1870.0,389.0,1345.0,391.0,1.8932,<1H OCEAN
247300.0,-122.32,37.93,40.0,3056.0,489.0,1103.0,481.0,5.1067,NEAR BAY
245800.0,-117.28,33.06,8.0,4172.0,1022.0,2585.0,941.0,4.0118,NEAR OCEAN
226000.0,-118.33,34.18,45.0,2570.0,517.0,1256.0,510.0,4.6898,<1H OCEAN
153100.0,-117.99,33.81,42.0,161.0,40.0,157.0,50.0,2.2,<1H OCEAN
275900.0,-122.69,38.46,32.0,2970.0,504.0,1117.0,512.0,5.0,<1H OCEAN
176600.0,-117.65,34.11,29.0,2927.0,634.0,1710.0,623.0,3.6219,INLAND
156100.0,-118.18,33.98,30.0,1735.0,573.0,2237.0,545.0,2.3444,<1H OCEAN
91300.0,-121.47,38.7,31.0,1007.0,181.0,563.0,185.0,3.625,INLAND
213900.0,-117.88,33.84,34.0,1410.0,214.0,837.0,240.0,6.1168,<1H OCEAN
158500.0,-121.32,38.64,19.0,8501.0,1558.0,3576.0,1467.0,3.6523,INLAND
239400.0,-118.5,34.46,17.0,10267.0,,4956.0,1483.0,5.5061,<1H OCEAN
75800.0,-117.29,34.13,44.0,2337.0,563.0,1238.0,467.0,1.5156,INLAND
101000.0,-123.54,39.17,18.0,2251.0,510.0,1032.0,369.0,2.2946,<1H OCEAN
211900.0,-121.94,37.27,23.0,1932.0,552.0,997.0,482.0,3.662,<1H OCEAN
82900.0,-117.29,34.14,45.0,1598.0,314.0,771.0,319.0,2.5417,INLAND
67900.0,-118.44,35.13,21.0,1899.0,447.0,1133.0,391.0,1.8636,INLAND
73600.0,-122.9,39.17,45.0,1314.0,277.0,649.0,232.0,2.575,INLAND
125400.0,-121.33,38.66,17.0,2767.0,584.0,1275.0,568.0,2.5909,INLAND
133300.0,-117.14,32.75,25.0,1908.0,513.0,956.0,467.0,2.4828,NEAR OCEAN
132000.0,-117.62,34.09,26.0,3271.0,595.0,2259.0,566.0,4.0139,INLAND
156900.0,-122.02,38.02,44.0,1465.0,247.0,817.0,237.0,4.8693,NEAR BAY
