median_house_value,longitude,latitude,median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
199200.0,-118.47,34.26,34.0,1300.0,289.0,650.0,291.0,3.8875,<1H OCEAN
312700.0,-118.4,34.18,32.0,3724.0,899.0,1912.0,791.0,3.5711,<1H OCEAN
217300.0,-122.03,37.55,26.0,3087.0,532.0,1597.0,483.0,4.9118,NEAR BAY
130500.0,-117.98,34.13,29.0,2110.0,460.0,1890.0,448.0,3.6806,INLAND
158900.0,-118.28,34.05,41.0,1788.0,774.0,2931.0,702.0,1.4413,<1H OCEAN
63500.0,-121.26,37.96,35.0,1511.0,316.0,892.0,304.0,1.7898,INLAND
218800.0,-118.17,34.18,44.0,1401.0,246.0,607.0,271.0,2.8472,<1H OCEAN
53900.0,-118.82,35.23,31.0,2358.0,580.0,2302.0,574.0,1.9688,INLAND
500001.0,-117.29,32.92,25.0,2355.0,381.0,823.0,358.0,6.8322,NEAR OCEAN
500001.0,-117.68,33.57,2.0,10008.0,1453.0,3550.0,1139.0,10.1122,<1H OCEAN
304700.0,-117.98,33.74,16.0,4636.0,908.0,2341.0,825.0,4.4261,<1H OCEAN
204700.0,-118.11,33.89,35.0,1139.0,197.0,772.0,233.0,4.375,<1H OCEAN
162500.0,-117.7,33.68,29.0,5650.0,1084.0,3985.0,1056.0,2.8192,<1H OCEAN
365600.0,-122.47,37.74,52.0,3688.0,640.0,1605.0,567.0,4.9537,NEAR BAY
500001.0,-122.44,37.8,52.0,3161.0,472.0,842.0,410.0,7.9761,NEAR BAY
239300.0,-120.39,34.52,40.0,2162.0,395.0,1010.0,332.0,2.5667,NEAR OCEAN
487200.0,-117.79,33.76,25.0,2037.0,252.0,796.0,249.0,11.0546,<1H OCEAN
393800.0,-122.48,37.78,52.0,2666.0,515.0,1362.0,494.0,4.218,NEAR BAY
500001.0,-118.33,33.77,33.0,4244.0,595.0,1534.0,557.0,9.8214,NEAR OCEAN
63200.0,-119.05,35.42,35.0,2353.0,483.0,1368.0,455.0,2.325,INLAND
431400.0,-118.38,34.08,52.0,1479.0,360.0,652.0,346.0,2.945,<1H OCEAN
233000.0,-117.8,33.85,23.0,3038.0,470.0,1568.0,438.0,5.6403,<1H OCEAN
152100.0,-118.45,34.3,27.0,2676.0,,2661.0,623.0,4.3047,<1H OCEAN
147800.0,-118.19,33.99,36.0,1273.0,379.0,1398.0,353.0,2.4516,<1H OCEAN
209100.0,-120.68,35.51,17.0,1701.0,298.0,941.0,293.0,4.3218,<1H OCEAN
151800.0,-117.1,32.76,31.0,987.0,267.0,619.0,250.0,2.9286,NEAR OCEAN
154300.0,-118.4,34.26,13.0,4379.0,872.0,2560.0,853.0,4.2538,<1H OCEAN
202200.0,-118.42,34.18,30.0,1323.0,353.0,856.0,333.0,3.3594,<1H OCEAN
93800.0,-119.81,37.67,24.0,172.0,42.0,79.0,30.0,3.8333,INLAND
327500.0,-121.94,37.28,27.0,2859.0,464.0,1144.0,430.0,5.0822,<1H OCEAN
229700.0,-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,NEAR BAY
160800.0,-118.18,33.86,39.0,2925.0,732.0,1702.0,642.0,2.375,<1H OCEAN
144000.0,-118.21,34.05,45.0,2146.0,607.0,2868.0,625.0,2.121,<1H OCEAN
500001.0,-118.41,33.9,39.0,2040.0,336.0,926.0,351.0,7.5552,<1H OCEAN
396900.0,-122.31,37.54,45.0,1222.0,220.0,492.0,205.0,5.539,NEAR OCEAN
181300.0,-118.02,33.77,7.0,586.0,118.0,232.0,107.0,5.2077,<1H OCEAN
67500.0,-122.53,38.01,16.0,1495.0,292.0,472.0,284.0,3.4432,NEAR BAY
66900.0,-114.31,34.19,15.0,5612.0,1283.0,1015.0,472.0,1.4936,INLAND
288100.0,-117.69,33.6,19.0,3562.0,439.0,1584.0,470.0,6.4211,<1H OCEAN
199900.0,-122.08,37.99,19.0,4657.0,739.0,1914.0,732.0,5.0509,NEAR BAY
137500.0,-121.45,38.37,32.0,1441.0,261.0,629.0,249.0,4.4519,INLAND
115400.0,-123.36,39.01,35.0,1551.0,321.0,857.0,288.0,2.7232,<1H OCEAN
112500.0,-121.4,38.66,50.0,880.0,150.0,1148.0,148.0,2.5062,INLAND
225000.0,-117.16,32.74,52.0,852.0,262.0,389.0,249.0,2.6042,NEAR OCEAN
376600.0,-122.44,37.76,50.0,2589.0,569.0,945.0,544.0,5.2519,NEAR BAY
68000.0,-121.49,38.47,26.0,6121.0,1185.0,4224.0,1105.0,2.3496,INLAND
209800.0,-118.24,34.15,17.0,5282.0,1605.0,4116.0,1574.0,3.052,<1H OCEAN
500001.0,-118.46,33.98,19.0,2520.0,726.0,964.0,663.0,3.8068,<1H OCEAN
175000.0,-118.27,34.03,50.0,395.0,232.0,948.0,243.0,1.7546,<1H OCEAN
108300.0,-117.13,32.8,15.0,1606.0,375.0,784.0,342.0,3.7237,NEAR OCEAN
172500.0,-116.93,32.83,19.0,3038.0,529.0,1463.0,509.0,3.944,<1H OCEAN
293000.0,-122.13,37.77,24.0,2459.0,317.0,916.0,324.0,7.0712,NEAR BAY
146500.0,-122.7,38.35,14.0,2313.0,,954.0,397.0,3.7813,<1H OCEAN
301900.0,-117.78,33.88,16.0,1800.0,238.0,871.0,234.0,6.6678,<1H OCEAN
17500.0,-118.33,34.15,39.0,493.0,168.0,259.0,138.0,2.3667,<1H OCEAN
295500.0,-120.59,35.13,8.0,6638.0,1054.0,2710.0,966.0,4.6776,<1H OCEAN
344200.0,-122.01,37.34,31.0,3080.0,526.0,1493.0,582.0,6.3052,<1H OCEAN
500001.0,-118.39,33.82,30.0,3433.0,918.0,1526.0,828.0,4.5817,NEAR OCEAN
81300.0,-122.39,40.59,26.0,1279.0,438.0,1276.0,420.0,1.2404,INLAND
83700.0,-119.27,36.34,7.0,3433.0,626.0,1793.0,626.0,3.5296,INLAND
308100.0,-122.01,37.06,19.0,4113.0,767.0,2006.0,732.0,5.1121,NEAR OCEAN
94400.0,-120.01,38.91,27.0,968.0,191.0,283.0,143.0,2.0938,INLAND
51200.0,-118.85,35.2,17.0,2783.0,678.0,2566.0,641.0,1.9907,INLAND
254600.0,-121.98,37.36,35.0,1440.0,267.0,743.0,259.0,5.0866,<1H OCEAN
197700.0,-117.29,34.03,9.0,8185.0,1525.0,3630.0,1466.0,4.1667,INLAND
105700.0,-122.45,40.46,16.0,2734.0,501.0,1413.0,484.0,2.8085,INLAND
147600.0,-117.66,34.04,16.0,2081.0,348.0,1332.0,356.0,4.7872,INLAND
196000.0,-121.21,38.65,14.0,3443.0,510.0,1413.0,505.0,5.6529,INLAND
157800.0,-122.12,37.69,30.0,1197.0,269.0,695.0,279.0,3.4375,NEAR BAY
318100.0,-118.45,34.03,41.0,1240.0,320.0,711.0,304.0,3.3482,<1H OCEAN
146800.0,-117.35,34.04,14.0,2991.0,522.0,1729.0,537.0,3.5139,INLAND
216700.0,-117.54,33.82,6.0,202.0,29.0,75.0,28.0,4.125,INLAND
179100.0,-118.38,34.21,33.0,1981.0,484.0,1665.0,466.0,3.0833,<1H OCEAN
65800.0,-119.02,35.33,35.0,2053.0,412.0,1193.0,387.0,2.75,INLAND
159000.0,-118.17,33.97,31.0,3388.0,1059.0,3558.0,957.0,2.4049,<1H OCEAN
106300.0,-117.07,32.6,13.0,1607.0,435.0,983.0,400.0,2.2903,NEAR OCEAN
362500.0,-122.56,37.9,24.0,221.0,41.0,75.0,38.0,5.1292,NEAR BAY
70100.0,-124.08,40.94,18.0,1550.0,345.0,941.0,335.0,2.3147,NEAR OCEAN
137200.0,-117.23,34.15,17.0,5036.0,817.0,2084.0,833.0,4.6445,INLAND
185400.0,-122.71,38.45,39.0,2739.0,573.0,1223.0,569.0,2.9663,<1H OCEAN
272600.0,-118.05,34.1,36.0,1606.0,318.0,889.0,294.0,4.7931,INLAND
147100.0,-119.03,35.38,52.0,1695.0,290.0,540.0,260.0,2.7312,INLAND
159600.0,-122.02,37.6,36.0,1633.0,345.0,1382.0,338.0,3.694,NEAR BAY
72400.0,-116.44,34.12,18.0,5584.0,1303.0,2250.0,1158.0,1.5823,INLAND
290400.0,-121.79,37.0,28.0,2715.0,451.0,1154.0,386.0,4.8021,<1H OCEAN
225000.0,-119.86,34.42,23.0,1450.0,642.0,1258.0,607.0,1.179,NEAR OCEAN
258900.0,-122.33,38.31,14.0,6778.0,947.0,2768.0,1014.0,6.1953,NEAR BAY
319400.0,-122.27,37.24,30.0,2762.0,593.0,1581.0,502.0,5.1002,NEAR OCEAN
69900.0,-119.06,35.35,20.0,9351.0,2139.0,4584.0,1953.0,2.575,INLAND
149100.0,-122.75,38.43,36.0,1599.0,345.0,1086.0,314.0,2.6667,<1H OCEAN
195300.0,-118.09,33.88,27.0,3119.0,635.0,1887.0,567.0,3.8654,<1H OCEAN
231600.0,-117.84,33.66,5.0,1688.0,430.0,857.0,402.0,3.7857,<1H OCEAN
152000.0,-118.45,34.28,38.0,1527.0,332.0,1303.0,340.0,3.5714,<1H OCEAN
134100.0,-121.35,38.61,25.0,4916.0,1243.0,2140.0,1136.0,2.5511,INLAND
115700.0,-117.08,34.03,23.0,3862.0,699.0,2082.0,652.0,3.154,INLAND
76300.0,-120.91,37.66,36.0,1320.0,255.0,720.0,232.0,2.6523,INLAND
126900.0,-121.35,38.55,22.0,2607.0,411.0,1216.0,407.0,5.0427,INLAND
390500.0,-117.66,34.12,22.0,2272.0,278.0,933.0,305.0,8.8204,INLAND
222800.0,-116.99,32.78,29.0,1114.0,163.0,385.0,154.0,5.4333,<1H OCEAN
81300.0,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,NEAR BAY
139900.0,-117.07,33.11,31.0,2055.0,473.0,1326.0,427.0,3.0915,<1H OCEAN
211500.0,-117.92,33.65,25.0,1679.0,470.0,1314.0,473.0,4.1026,<1H OCEAN
121600.0,-122.36,37.93,17.0,1258.0,254.0,885.0,229.0,3.05,NEAR BAY
394100.0,-121.72,37.16,21.0,1062.0,179.0,631.0,185.0,4.7386,<1H OCEAN
264900.0,-118.32,34.62,31.0,1398.0,273.0,884.0,299.0,4.8409,INLAND
243600.0,-118.36,34.05,48.0,1835.0,380.0,956.0,370.0,3.2813,<1H OCEAN
207400.0,-117.89,34.08,25.0,2115.0,489.0,1107.0,477.0,3.1949,<1H OCEAN
217100.0,-117.02,32.75,33.0,3296.0,537.0,1345.0,556.0,5.2835,<1H OCEAN
177000.0,-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,INLAND
189600.0,-117.98,33.84,35.0,984.0,179.0,661.0,199.0,5.0747,<1H OCEAN
95800.0,-121.02,37.62,14.0,5737.0,1286.0,4722.0,1210.0,1.6731,INLAND
275000.0,-122.0,36.98,20.0,2502.0,454.0,981.0,399.0,4.3,NEAR OCEAN
271700.0,-117.85,33.84,26.0,2095.0,280.0,793.0,261.0,6.6719,<1H OCEAN
89600.0,-120.51,37.32,13.0,2109.0,477.0,1108.0,466.0,2.3099,INLAND
189100.0,-121.73,38.0,3.0,9217.0,1522.0,3578.0,1272.0,5.0016,INLAND
196300.0,-120.93,38.77,9.0,2229.0,355.0,788.0,341.0,5.5111,INLAND
195200.0,-117.95,33.81,33.0,1724.0,291.0,943.0,285.0,5.118,<1H OCEAN
500001.0,-118.43,33.82,34.0,2112.0,614.0,946.0,574.0,4.6048,NEAR OCEAN
102700.0,-119.4,37.09,22.0,2211.0,477.0,773.0,288.0,3.3269,INLAND
262100.0,-122.54,37.62,35.0,1481.0,277.0,747.0,254.0,4.4286,NEAR OCEAN
87200.0,-117.0,34.87,16.0,6862.0,1292.0,3562.0,1126.0,3.6091,INLAND
111500.0,-117.35,34.09,14.0,5983.0,1224.0,3255.0,1150.0,2.5902,INLAND
180500.0,-117.76,34.11,22.0,4935.0,954.0,2874.0,938.0,3.9825,INLAND
125000.0,-117.06,32.67,29.0,4047.0,754.0,2353.0,730.0,4.0505,NEAR OCEAN
271300.0,-119.03,34.23,16.0,5323.0,795.0,2493.0,779.0,5.6762,<1H OCEAN
73800.0,-121.26,38.12,27.0,1818.0,459.0,1182.0,428.0,1.8575,INLAND
55400.0,-118.99,35.39,36.0,1438.0,348.0,1054.0,341.0,1.8319,INLAND
469400.0,-122.04,37.85,27.0,6039.0,780.0,2181.0,761.0,9.5862,NEAR BAY
78900.0,-119.69,36.83,28.0,1868.0,350.0,898.0,329.0,3.1814,INLAND
196700.0,-118.56,34.2,35.0,2273.0,,1431.0,403.0,4.0789,<1H OCEAN
500001.0,-117.9,33.61,44.0,1469.0,312.0,507.0,266.0,3.4937,<1H OCEAN
120500.0,-120.81,38.73,38.0,2005.0,385.0,882.0,353.0,2.5104,INLAND
113600.0,-116.47,33.78,27.0,1781.0,441.0,759.0,340.0,3.3162,INLAND
90800.0,-117.3,34.15,45.0,942.0,166.0,401.0,174.0,3.8594,INLAND
374100.0,-118.37,34.08,52.0,2946.0,695.0,1258.0,650.0,3.9783,<1H OCEAN
240500.0,-117.88,33.7,24.0,534.0,88.0,249.0,74.0,5.3254,<1H OCEAN
84700.0,-116.11,33.64,20.0,1273.0,354.0,1548.0,355.0,2.0871,INLAND
72100.0,-116.23,33.73,29.0,1133.0,221.0,918.0,239.0,2.8648,INLAND
410000.0,-118.46,34.05,25.0,6902.0,2138.0,3136.0,1844.0,2.6509,<1H OCEAN
128800.0,-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,NEAR BAY
157600.0,-117.17,32.8,20.0,2827.0,554.0,1822.0,536.0,3.4706,NEAR OCEAN
106300.0,-117.14,32.71,52.0,1225.0,332.0,955.0,321.0,1.6011,NEAR OCEAN
405400.0,-121.95,37.24,32.0,1382.0,239.0,705.0,251.0,6.0957,<1H OCEAN
173100.0,-118.14,34.17,52.0,2667.0,486.0,1681.0,504.0,4.0524,<1H OCEAN
355600.0,-122.14,37.84,24.0,2131.0,343.0,874.0,373.0,5.6349,NEAR BAY
59600.0,-120.07,36.98,12.0,1790.0,379.0,1399.0,397.0,2.5388,INLAND
165600.0,-118.04,33.98,28.0,1617.0,507.0,1158.0,486.0,1.9688,<1H OCEAN
422900.0,-118.86,34.19,29.0,1326.0,185.0,586.0,187.0,6.5474,<1H OCEAN
191000.0,-122.16,37.71,37.0,1507.0,242.0,632.0,253.0,4.5553,NEAR BAY
74600.0,-120.57,37.43,39.0,2235.0,412.0,1268.0,402.0,2.6758,INLAND
72800.0,-120.59,37.39,16.0,4717.0,1119.0,3589.0,1017.0,2.1061,INLAND
68300.0,-116.98,33.93,33.0,376.0,83.0,267.0,88.0,2.1581,INLAND
80400.0,-121.52,39.43,15.0,2119.0,389.0,1079.0,374.0,2.3566,INLAND
80900.0,-115.37,32.82,14.0,1276.0,270.0,867.0,261.0,1.9375,INLAND
118800.0,-118.21,33.9,43.0,1810.0,357.0,1335.0,358.0,3.1189,<1H OCEAN
72700.0,-117.34,34.16,31.0,1606.0,354.0,1049.0,335.0,2.1935,INLAND
129200.0,-117.74,34.06,48.0,2438.0,599.0,1508.0,548.0,2.8983,INLAND
67500.0,-117.09,32.63,27.0,2920.0,770.0,1935.0,746.0,2.4148,NEAR OCEAN
58300.0,-120.19,36.6,25.0,875.0,214.0,931.0,214.0,1.5536,INLAND
188000.0,-118.06,33.99,45.0,1471.0,255.0,670.0,250.0,4.5478,<1H OCEAN
111500.0,-119.53,36.55,34.0,2065.0,343.0,1041.0,313.0,3.2917,INLAND
216800.0,-121.55,38.51,14.0,5490.0,851.0,2415.0,837.0,6.5253,INLAND
325000.0,-117.16,32.71,5.0,2508.0,827.0,2066.0,761.0,1.3092,NEAR OCEAN
103000.0,-120.88,38.32,18.0,2791.0,492.0,1187.0,438.0,3.2589,INLAND
93100.0,-117.32,34.48,8.0,4627.0,887.0,2739.0,846.0,3.0204,INLAND
82100.0,-117.27,34.07,21.0,418.0,132.0,401.0,120.0,1.7206,INLAND
133900.0,-117.05,32.73,27.0,3184.0,588.0,1763.0,571.0,3.5529,NEAR OCEAN
152500.0,-116.96,32.81,8.0,2378.0,638.0,1410.0,623.0,2.9097,<1H OCEAN
265400.0,-117.06,33.03,23.0,2023.0,309.0,678.0,340.0,7.0913,<1H OCEAN
96700.0,-117.37,33.98,43.0,2862.0,772.0,1878.0,675.0,2.1151,INLAND
105800.0,-118.39,37.37,25.0,3295.0,824.0,1477.0,770.0,1.8325,INLAND
85500.0,-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,INLAND
140000.0,-117.09,32.76,29.0,1650.0,496.0,882.0,445.0,2.2287,NEAR OCEAN
96300.0,-121.42,38.22,35.0,1507.0,313.0,868.0,283.0,2.0284,INLAND
300000.0,-122.4,37.8,52.0,1642.0,570.0,1432.0,513.0,1.9063,NEAR BAY
247100.0,-118.32,34.17,47.0,2589.0,465.0,1284.0,485.0,5.1008,<1H OCEAN
67500.0,-116.19,33.67,16.0,1859.0,476.0,1994.0,477.0,1.7297,INLAND
293200.0,-122.29,37.54,43.0,2268.0,438.0,1151.0,449.0,4.9091,NEAR OCEAN
298900.0,-122.0,37.54,26.0,1910.0,371.0,852.0,357.0,5.8325,<1H OCEAN
487356.0,-119.5168118544975,36.28563384119945,120.0,25488.0,2902.0,2023.0,1801.0,3.7061249998121126,INLAND
245100.0,-118.33,34.17,48.0,2584.0,483.0,1118.0,459.0,4.2396,<1H OCEAN
338900.0,-118.07,33.86,17.0,3666.0,562.0,2104.0,579.0,5.6818,<1H OCEAN
128700.0,-121.27,38.67,15.0,1701.0,346.0,723.0,352.0,3.8906,INLAND
362700.0,-121.74,37.3,12.0,1961.0,280.0,985.0,269.0,6.7159,<1H OCEAN
51700.0,-119.1,36.4,31.0,1533.0,361.0,1518.0,386.0,1.5608,INLAND
136700.0,-122.37,40.55,26.0,1435.0,234.0,544.0,232.0,2.6705,INLAND
163200.0,-118.04,33.98,50.0,1951.0,458.0,1362.0,454.0,3.0,<1H OCEAN
250000.0,-118.35,34.06,52.0,2837.0,602.0,1164.0,551.0,3.2411,<1H OCEAN
226400.0,-120.18,34.62,25.0,1337.0,219.0,671.0,225.0,3.1912,NEAR OCEAN
148000.0,-119.65,36.37,4.0,3725.0,783.0,1478.0,600.0,3.5486,INLAND
59900.0,-119.56,36.71,37.0,1609.0,374.0,1173.0,344.0,2.181,INLAND
341400.0,-118.42,33.93,39.0,2988.0,605.0,1466.0,610.0,4.9286,<1H OCEAN
109800.0,-117.43,34.11,17.0,4109.0,884.0,2544.0,780.0,2.7757,INLAND
250300.0,-121.24,38.66,14.0,3335.0,440.0,1329.0,429.0,6.2082,INLAND
241900.0,-121.79,37.32,6.0,2850.0,561.0,2160.0,581.0,5.5336,<1H OCEAN
151000.0,-122.04,37.97,39.0,1323.0,245.0,705.0,261.0,3.1968,NEAR BAY
156600.0,-122.08,37.63,37.0,1793.0,364.0,1534.0,346.0,3.6458,NEAR BAY
500001.0,-117.26,32.85,30.0,3652.0,499.0,978.0,462.0,8.2374,NEAR OCEAN
210400.0,-117.99,33.93,27.0,3708.0,718.0,1921.0,721.0,4.375,<1H OCEAN
118800.0,-120.93,39.96,15.0,1666.0,351.0,816.0,316.0,2.9559,INLAND
183300.0,-118.33,33.91,35.0,1092.0,302.0,962.0,297.0,3.5903,<1H OCEAN
172700.0,-122.27,37.85,47.0,2077.0,400.0,719.0,326.0,2.2431,NEAR BAY
92200.0,-122.43,40.66,15.0,2532.0,458.0,1183.0,450.0,2.5417,INLAND
500001.0,-122.35,37.57,52.0,2170.0,269.0,784.0,274.0,10.4286,NEAR OCEAN
264100.0,-117.95,33.94,28.0,2851.0,496.0,1287.0,496.0,5.0782,<1H OCEAN
397100.0,-122.32,37.55,44.0,2151.0,411.0,849.0,370.0,4.4583,NEAR OCEAN
112500.0,-119.72,36.82,16.0,2627.0,613.0,1054.0,623.0,1.9483,INLAND
399300.0,-118.4,34.14,52.0,1695.0,281.0,595.0,264.0,6.0678,<1H OCEAN
111500.0,-122.73,39.04,23.0,1618.0,395.0,425.0,244.0,1.9833,INLAND
500001.0,-122.21,37.46,40.0,1777.0,207.0,577.0,207.0,15.0001,NEAR OCEAN
88300.0,-121.31,38.26,22.0,1768.0,396.0,1005.0,420.0,1.8846,INLAND
279900.0,-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,<1H OCEAN
69400.0,-121.76,38.68,38.0,674.0,178.0,701.0,189.0,1.3942,INLAND
387200.0,-118.41,33.97,37.0,1629.0,275.0,668.0,266.0,6.1333,<1H OCEAN
187500.0,-118.31,34.09,36.0,2517.0,842.0,2446.0,689.0,2.1524,<1H OCEAN
222100.0,-117.89,34.14,15.0,4644.0,967.0,2855.0,867.0,3.3654,<1H OCEAN
66900.0,-122.22,39.51,17.0,1201.0,268.0,555.0,277.0,2.1,INLAND
